 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,408.112,43.022,304,525,928.074,68971.000
2,2.274,519.923,40.915,439,606,1182.339,87867.000
3,2.274,391.882,39.955,278,499,891.164,66228.000
4,2.274,492.296,77.402,312,642,1119.512,83198.000
5,2.274,548.876,45.772,433,670,1248.179,92760.000
6,2.274,480.627,79.469,317,700,1092.977,81226.000
7,2.274,528.237,58.318,317,651,1201.244,89272.000
8,2.274,459.698,45.039,356,580,1045.383,77689.000
9,2.274,404.462,43.356,288,521,919.772,68354.000
10,2.274,159.343,20.246,100,210,362.357,26929.000
11,2.274,218.663,28.025,150,297,497.253,36954.000
12,2.274,299.657,32.692,204,369,681.439,50642.000
13,2.274,169.692,24.199,111,233,385.891,28678.000
14,2.274,228.462,24.350,177,340,519.536,38610.000
15,2.274,491.337,68.845,335,681,1117.333,83036.000
16,2.274,173.988,21.597,118,240,395.660,29404.000
17,2.274,216.698,25.159,160,294,492.786,36622.000
18,2.274,436.118,64.271,292,597,991.761,73704.000
19,2.274,108.763,18.420,58,170,247.335,18381.000
20,2.274,113.604,17.158,63,160,258.342,19199.000
21,2.274,136.249,18.545,96,176,309.838,23026.000
