 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,1121.118,315.293,300,1583,2549.495,189469.000
2,2.274,3036.320,878.798,882,4095,6904.786,513138.000
3,2.274,851.491,122.625,513,1077,1936.346,143902.000
4,2.274,914.142,180.476,504,1291,2078.818,154490.000
5,2.274,2588.467,539.030,1438,3972,5886.342,437451.000
6,2.274,719.278,93.998,490,982,1635.685,121558.000
7,2.274,626.657,330.603,143,1266,1425.058,105905.000
8,2.274,1947.213,1044.378,414,3410,4428.088,329079.000
9,2.274,562.018,142.489,285,837,1278.065,94981.000
10,2.274,157.047,25.599,91,231,357.136,26541.000
11,2.274,342.030,69.241,202,557,777.797,57803.000
12,2.274,257.799,43.690,172,399,586.251,43568.000
13,2.274,174.361,22.068,118,252,396.508,29467.000
14,2.274,403.154,41.122,288,520,916.798,68133.000
15,2.274,319.834,36.089,235,412,727.324,54052.000
16,2.274,168.095,19.267,126,214,382.258,28408.000
17,2.274,396.172,71.203,262,586,900.920,66953.000
18,2.274,267.462,34.581,193,357,608.225,45201.000
19,2.274,116.680,16.572,76,153,265.339,19719.000
20,2.274,130.840,18.322,86,178,297.539,22112.000
21,2.274,140.154,16.546,93,185,318.719,23686.000
