 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,405.337,64.917,243,547,921.763,68502.000
2,2.274,347.172,51.314,228,475,789.491,58672.000
3,2.274,294.645,34.726,199,378,670.042,49795.000
4,2.274,407.645,41.282,281,533,927.011,68892.000
5,2.274,403.556,44.482,302,511,917.713,68201.000
6,2.274,286.331,26.314,215,351,651.136,48390.000
7,2.274,265.166,46.461,161,372,603.004,44813.000
8,2.274,327.544,35.122,238,396,744.857,55355.000
9,2.274,275.089,34.548,179,367,625.570,46490.000
10,2.274,133.402,17.263,79,175,303.366,22545.000
11,2.274,187.485,28.863,114,272,426.353,31685.000
12,2.274,694.308,63.621,545,860,1578.900,117338.000
13,2.274,137.822,20.025,95,208,313.417,23292.000
14,2.274,177.213,22.803,117,236,402.994,29949.000
15,2.274,528.959,91.552,317,775,1202.886,89394.000
16,2.274,136.722,17.306,89,178,310.914,23106.000
17,2.274,199.905,35.262,127,309,454.598,33784.000
18,2.274,231.118,54.404,136,400,525.578,39059.000
19,2.274,119.047,16.707,81,171,270.721,20119.000
20,2.274,118.077,16.511,81,167,268.515,19955.000
21,2.274,135.473,18.192,76,178,308.075,22895.000
