 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,563.018,93.497,329,761,1280.339,95150.000
2,2.274,480.852,85.505,271,679,1093.489,81264.000
3,2.274,743.710,120.513,477,987,1691.245,125687.000
4,2.274,463.828,72.121,291,613,1054.776,78387.000
5,2.274,510.414,60.396,341,678,1160.715,86260.000
6,2.274,787.852,82.352,636,1008,1791.626,133147.000
7,2.274,382.385,96.491,193,562,869.567,64623.000
8,2.274,385.645,82.649,217,542,876.981,65174.000
9,2.274,635.183,111.216,428,883,1444.448,107346.000
10,2.274,190.692,23.975,137,262,433.647,32227.000
11,2.274,223.166,35.921,136,336,507.493,37715.000
12,2.274,368.024,40.070,265,490,836.910,62196.000
13,2.274,221.876,31.484,137,288,504.560,37497.000
14,2.274,233.083,27.040,168,307,530.045,39391.000
15,2.274,375.349,38.401,286,470,853.568,63434.000
16,2.274,166.598,24.931,103,236,378.854,28155.000
17,2.274,207.278,24.838,142,281,471.364,35030.000
18,2.274,368.852,33.463,284,457,838.793,62336.000
19,2.274,126.189,17.878,88,173,286.963,21326.000
20,2.274,126.959,17.237,74,178,288.712,21456.000
21,2.274,160.006,21.629,113,224,363.864,27041.000
