 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,279.586,41.175,185,372,635.796,47250.000
2,2.274,232.521,26.170,152,307,528.767,39296.000
3,2.274,521.396,70.478,375,720,1185.689,88116.000
4,2.274,318.953,40.964,217,434,725.319,53903.000
5,2.274,284.515,37.272,186,370,647.005,48083.000
6,2.274,674.124,69.635,485,887,1533.002,113927.000
7,2.274,285.521,50.338,161,409,649.292,48253.000
8,2.274,246.846,31.074,179,331,561.344,41717.000
9,2.274,606.083,98.642,339,784,1378.271,102428.000
10,2.274,137.438,18.530,99,219,312.543,23227.000
11,2.274,226.882,29.926,157,309,515.943,38343.000
12,2.274,398.361,39.953,318,510,905.898,67323.000
13,2.274,126.089,15.829,88,178,286.734,21309.000
14,2.274,167.828,24.448,121,242,381.653,28363.000
15,2.274,303.030,33.505,205,389,689.109,51212.000
16,2.274,140.615,18.749,87,204,319.768,23764.000
17,2.274,213.550,26.159,156,289,485.627,36090.000
18,2.274,341.314,38.250,256,470,776.169,57682.000
19,2.274,111.645,15.773,72,152,253.888,18868.000
20,2.274,121.018,18.217,66,170,275.202,20452.000
21,2.274,154.396,18.887,88,205,351.107,26093.000
