 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,497.911,96.060,272,703,1132.282,84147.000
2,2.274,1706.225,258.082,1040,2140,3880.065,288352.000
3,2.274,673.728,97.915,449,899,1532.100,113860.000
4,2.274,434.095,45.088,290,560,987.159,73362.000
5,2.274,1537.172,132.400,1271,1898,3495.627,259782.000
6,2.274,713.314,224.697,433,1809,1622.121,120550.000
7,2.274,454.083,52.743,319,611,1032.614,76740.000
8,2.274,1613.047,118.930,1309,1928,3668.173,272605.000
9,2.274,651.018,82.338,488,869,1480.456,110022.000
10,2.274,151.420,21.547,80,207,344.339,25590.000
11,2.274,816.769,54.603,676,970,1857.386,138034.000
12,2.274,345.284,45.716,221,475,785.198,58353.000
13,2.274,149.716,17.913,103,206,340.464,25302.000
14,2.274,1044.947,101.156,798,1282,2376.276,176596.000
15,2.274,421.556,35.809,338,519,958.646,71243.000
16,2.274,143.757,19.494,102,211,326.914,24295.000
17,2.274,738.071,98.259,445,966,1678.421,124734.000
18,2.274,329.006,31.141,255,414,748.181,55602.000
19,2.274,113.633,16.463,63,160,258.409,19204.000
20,2.274,141.515,16.057,100,184,321.814,23916.000
21,2.274,144.550,17.790,96,200,328.717,24429.000
