 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,349.959,52.453,213,449,795.828,59143.000
2,2.274,1672.030,98.844,1432,1981,3802.303,282573.000
3,2.274,486.456,46.288,372,653,1106.231,82211.000
4,2.274,300.793,46.395,194,402,684.022,50834.000
5,2.274,1724.355,137.961,1440,2074,3921.294,291416.000
6,2.274,523.278,54.520,403,650,1189.968,88434.000
7,2.274,337.592,62.415,198,512,767.705,57053.000
8,2.274,1590.592,171.085,1282,2082,3617.108,268810.000
9,2.274,450.716,47.713,309,569,1024.957,76171.000
10,2.274,147.124,19.638,103,200,334.570,24864.000
11,2.274,705.882,77.933,530,963,1605.220,119294.000
12,2.274,415.852,49.221,312,523,945.674,70279.000
13,2.274,139.071,17.697,93,174,316.256,23503.000
14,2.274,664.095,67.564,511,851,1510.194,112232.000
15,2.274,348.976,44.480,222,475,793.595,58977.000
16,2.274,163.976,22.280,111,215,372.893,27712.000
17,2.274,1024.899,100.047,779,1297,2330.687,173208.000
18,2.274,391.515,44.824,278,509,890.330,66166.000
19,2.274,110.243,16.975,69,153,250.699,18631.000
20,2.274,121.432,18.343,77,174,276.144,20522.000
21,2.274,145.408,16.403,104,185,330.668,24574.000
