 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,820.781,122.038,583,1094,1866.509,138712.000
2,2.274,1688.308,301.264,1191,2531,3839.320,285324.000
3,2.274,738.598,110.951,523,978,1679.619,124823.000
4,2.274,1157.811,185.013,822,1532,2632.936,195670.000
5,2.274,3177.172,553.245,2054,4095,7225.093,536942.000
6,2.274,950.698,87.936,725,1232,2161.949,160668.000
7,2.274,1433.740,210.059,948,1892,3260.416,242302.000
8,2.274,3184.148,641.955,1792,4095,7240.957,538121.000
9,2.274,1278.805,109.147,966,1503,2908.084,216118.000
10,2.274,244.207,25.719,188,310,555.343,41271.000
11,2.274,547.024,54.742,416,680,1243.967,92447.000
12,2.274,466.237,40.514,352,594,1060.252,78794.000
13,2.274,259.787,28.789,182,337,590.772,43904.000
14,2.274,540.923,77.301,351,770,1230.094,91416.000
15,2.274,485.639,44.861,378,620,1104.374,82073.000
16,2.274,231.846,29.869,163,322,527.233,39182.000
17,2.274,529.751,75.623,383,697,1204.689,89528.000
18,2.274,394.947,43.712,308,513,898.134,66746.000
19,2.274,121.462,15.616,72,161,276.211,20527.000
20,2.274,133.586,17.688,97,181,303.783,22576.000
21,2.274,149.710,18.332,95,194,340.450,25301.000
