 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,752.746,92.860,476,938,1711.792,127214.000
2,2.274,2070.148,158.322,1546,2368,4707.650,349855.000
3,2.274,454.462,56.200,346,615,1033.475,76804.000
4,2.274,791.757,75.532,572,964,1800.507,133807.000
5,2.274,2270.562,181.825,1744,2608,5163.404,383725.000
6,2.274,461.178,54.019,335,631,1048.747,77939.000
7,2.274,579.101,65.023,426,746,1316.912,97868.000
8,2.274,1694.533,148.659,1384,2064,3853.476,286376.000
9,2.274,614.852,113.602,423,1166,1398.213,103910.000
10,2.274,175.148,24.619,111,251,398.298,29600.000
11,2.274,395.006,47.831,287,502,898.269,66756.000
12,2.274,913.905,149.516,688,1307,2078.280,154450.000
13,2.274,206.876,22.598,148,276,470.449,34962.000
14,2.274,532.959,80.887,386,742,1211.982,90070.000
15,2.274,1669.083,230.384,1063,2071,3795.602,282075.000
16,2.274,163.432,22.852,111,244,371.655,27620.000
17,2.274,327.290,61.414,227,549,744.278,55312.000
18,2.274,287.882,42.579,171,391,654.661,48652.000
19,2.274,107.148,16.178,72,151,243.661,18108.000
20,2.274,124.201,17.861,80,171,282.441,20990.000
21,2.274,155.059,21.777,101,210,352.615,26205.000
