 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,369.379,45.314,255,489,839.991,62425.000
2,2.274,251.864,35.187,176,344,572.755,42565.000
3,2.274,462.195,57.331,317,610,1051.062,78111.000
4,2.274,361.006,45.510,263,466,820.951,61010.000
5,2.274,255.905,31.316,180,335,581.945,43248.000
6,2.274,562.503,50.395,424,680,1279.168,95063.000
7,2.274,484.172,51.547,345,622,1101.037,81825.000
8,2.274,272.278,36.620,194,380,619.178,46015.000
9,2.274,406.361,72.898,244,560,924.091,68675.000
10,2.274,220.456,24.714,131,291,501.330,37257.000
11,2.274,205.692,24.089,142,284,467.758,34762.000
12,2.274,734.225,101.084,541,972,1669.675,124084.000
13,2.274,246.361,23.517,178,300,560.241,41635.000
14,2.274,220.580,26.910,149,310,501.613,37278.000
15,2.274,946.379,88.740,754,1205,2152.126,159938.000
16,2.274,210.006,25.494,132,269,477.567,35491.000
17,2.274,186.923,23.289,116,243,425.075,31590.000
18,2.274,433.497,83.430,243,627,985.800,73261.000
19,2.274,114.639,16.979,67,151,260.697,19374.000
20,2.274,121.568,16.769,71,165,276.454,20545.000
21,2.274,139.746,18.564,87,184,317.790,23617.000
