 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,375.716,62.729,249,538,854.402,63496.000
2,2.274,272.621,39.730,192,392,619.958,46073.000
3,2.274,501.355,39.393,404,609,1140.114,84729.000
4,2.274,523.982,74.275,343,747,1191.569,88553.000
5,2.274,308.876,47.473,206,428,702.403,52200.000
6,2.274,541.515,41.537,428,672,1231.439,91516.000
7,2.274,475.515,76.851,317,641,1081.351,80362.000
8,2.274,317.201,31.435,234,407,721.336,53607.000
9,2.274,658.604,79.521,473,845,1497.707,111304.000
10,2.274,166.071,20.558,110,221,377.656,28066.000
11,2.274,202.118,29.620,128,290,459.630,34158.000
12,2.274,339.905,52.020,196,476,772.967,57444.000
13,2.274,169.982,20.852,117,222,386.551,28727.000
14,2.274,185.142,23.304,128,245,421.025,31289.000
15,2.274,371.527,35.336,294,482,844.875,62788.000
16,2.274,167.521,23.788,81,237,380.953,28311.000
17,2.274,186.935,24.208,128,268,425.102,31592.000
18,2.274,364.645,42.574,257,460,829.226,61625.000
19,2.274,115.959,18.890,67,158,263.697,19597.000
20,2.274,121.314,16.559,66,158,275.875,20502.000
21,2.274,142.686,19.095,96,196,324.478,24114.000
