 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,439.006,59.203,318,624,998.328,74192.000
2,2.274,434.213,45.958,333,572,987.428,73382.000
3,2.274,449.515,51.220,296,614,1022.226,75968.000
4,2.274,311.568,39.264,221,440,708.526,52655.000
5,2.274,402.089,40.120,298,502,914.376,67953.000
6,2.274,355.657,40.988,267,494,808.786,60106.000
7,2.274,449.527,103.752,207,655,1022.252,75970.000
8,2.274,389.485,65.236,240,507,885.714,65823.000
9,2.274,435.260,62.186,315,578,989.810,73559.000
10,2.274,166.124,21.519,110,222,377.777,28075.000
11,2.274,220.189,32.754,149,318,500.725,37212.000
12,2.274,269.385,50.069,175,406,612.598,45526.000
13,2.274,215.692,35.473,130,310,490.498,36452.000
14,2.274,251.432,29.094,181,344,571.772,42492.000
15,2.274,303.615,47.957,195,477,690.441,51311.000
16,2.274,191.337,25.164,130,275,435.113,32336.000
17,2.274,227.947,28.477,163,329,518.366,38523.000
18,2.274,387.089,86.931,187,627,880.265,65418.000
19,2.274,116.391,18.286,75,156,264.680,19670.000
20,2.274,122.195,17.275,73,169,277.880,20651.000
21,2.274,157.302,19.512,106,215,357.714,26584.000
