 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,273.030,31.918,180,361,620.887,46142.000
2,2.274,288.775,41.132,189,399,656.693,48803.000
3,2.274,569.112,44.411,449,699,1294.198,96180.000
4,2.274,271.432,32.371,181,344,617.254,45872.000
5,2.274,294.828,38.272,220,399,670.459,49826.000
6,2.274,612.107,68.033,437,811,1391.970,103446.000
7,2.274,287.112,27.276,218,350,652.912,48522.000
8,2.274,333.716,32.461,258,461,758.892,56398.000
9,2.274,683.385,75.072,509,873,1554.061,115492.000
10,2.274,145.864,20.090,78,193,331.704,24651.000
11,2.274,195.183,25.247,121,279,443.860,32986.000
12,2.274,304.574,27.943,211,384,692.621,51473.000
13,2.274,161.675,21.182,106,223,367.658,27323.000
14,2.274,192.615,21.854,141,258,438.020,32552.000
15,2.274,285.396,33.280,201,381,649.010,48232.000
16,2.274,146.142,21.860,85,195,332.336,24698.000
17,2.274,177.408,20.707,127,229,403.438,29982.000
18,2.274,284.858,27.489,191,391,647.785,48141.000
19,2.274,104.941,16.707,61,151,238.642,17735.000
20,2.274,114.053,18.281,70,163,259.364,19275.000
21,2.274,140.817,18.877,92,192,320.226,23798.000
