 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,421.083,51.814,301,532,957.569,71163.000
2,2.274,1443.000,105.925,1217,1752,3281.475,243867.000
3,2.274,491.580,44.024,363,625,1117.884,83077.000
4,2.274,295.604,57.156,189,457,672.221,49957.000
5,2.274,1027.420,191.849,660,1449,2336.419,173634.000
6,2.274,377.266,51.972,278,523,857.928,63758.000
7,2.274,474.799,67.371,329,647,1079.723,80241.000
8,2.274,1166.231,137.318,869,1491,2652.084,197093.000
9,2.274,454.639,58.202,344,600,1033.878,76834.000
10,2.274,147.941,20.481,104,205,336.427,25002.000
11,2.274,790.793,140.902,424,1146,1798.314,133644.000
12,2.274,296.006,41.212,193,383,673.137,50025.000
13,2.274,159.154,21.784,101,223,361.926,26897.000
14,2.274,919.272,93.477,689,1253,2090.484,155357.000
15,2.274,392.544,44.148,284,502,892.671,66340.000
16,2.274,139.651,18.413,89,208,317.575,23601.000
17,2.274,667.515,94.261,456,917,1517.972,112810.000
18,2.274,311.231,35.527,217,396,707.759,52598.000
19,2.274,116.325,15.813,79,160,264.532,19659.000
20,2.274,150.290,20.359,95,197,341.769,25399.000
21,2.274,143.249,17.196,98,186,325.756,24209.000
