 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,731.030,142.236,438,1012,1662.408,123544.000
2,2.274,1249.379,209.138,887,1675,2841.168,211145.000
3,2.274,342.586,43.077,238,463,779.062,57897.000
4,2.274,1114.036,221.788,536,1470,2533.388,188272.000
5,2.274,1573.734,173.450,1020,1955,3578.772,265961.000
6,2.274,400.728,35.348,325,485,911.281,67723.000
7,2.274,770.302,99.714,530,1021,1751.716,130181.000
8,2.274,1329.243,138.053,1033,1658,3022.783,224642.000
9,2.274,317.716,32.269,233,423,722.507,53694.000
10,2.274,232.361,28.511,153,325,528.404,39269.000
11,2.274,922.030,103.422,701,1194,2096.755,155823.000
12,2.274,380.947,89.951,250,611,866.297,64380.000
13,2.274,253.846,39.632,183,380,577.262,42900.000
14,2.274,843.982,101.363,598,1162,1919.270,142633.000
15,2.274,547.787,87.913,356,729,1245.703,92576.000
16,2.274,158.509,19.103,107,200,360.459,26788.000
17,2.274,809.059,117.542,559,1124,1839.853,136731.000
18,2.274,661.225,131.753,294,966,1503.668,111747.000
19,2.274,119.698,17.528,70,172,272.201,20229.000
20,2.274,126.047,17.676,80,180,286.640,21302.000
21,2.274,141.574,18.466,92,197,321.948,23926.000
