 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,481.893,69.803,301,628,1095.857,81440.000
2,2.274,394.799,66.900,200,568,897.798,66721.000
3,2.274,445.959,83.357,282,651,1014.139,75367.000
4,2.274,478.941,69.516,303,685,1089.142,80941.000
5,2.274,408.396,51.455,265,535,928.720,69019.000
6,2.274,343.757,35.930,270,437,781.726,58095.000
7,2.274,635.627,98.400,371,898,1445.457,107421.000
8,2.274,505.166,69.347,357,660,1148.779,85373.000
9,2.274,414.278,47.186,279,542,942.095,70013.000
10,2.274,178.882,21.096,123,236,406.788,30231.000
11,2.274,188.379,26.462,107,255,428.385,31836.000
12,2.274,583.089,70.327,401,826,1325.981,98542.000
13,2.274,226.379,28.406,159,299,514.800,38258.000
14,2.274,206.426,25.355,144,296,469.426,34886.000
15,2.274,529.107,55.812,418,694,1203.222,89419.000
16,2.274,200.994,38.211,120,291,457.073,33968.000
17,2.274,199.385,27.638,117,287,453.413,33696.000
18,2.274,261.834,36.857,199,359,595.428,44250.000
19,2.274,110.479,18.425,54,157,251.237,18671.000
20,2.274,114.420,17.357,73,162,260.199,19337.000
21,2.274,141.266,18.982,100,182,321.249,23874.000
