 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,1631.130,251.465,818,2034,3709.295,275661.000
2,2.274,1343.527,132.640,942,1609,3055.266,227056.000
3,2.274,475.254,51.349,321,614,1080.759,80318.000
4,2.274,1466.574,203.609,1060,1894,3335.084,247851.000
5,2.274,1439.396,94.143,1131,1686,3273.280,243258.000
6,2.274,493.254,50.403,364,661,1121.692,83360.000
7,2.274,1247.284,295.111,736,1821,2836.404,210791.000
8,2.274,1484.402,177.698,1014,1827,3375.626,250864.000
9,2.274,519.485,51.984,406,642,1181.343,87793.000
10,2.274,226.598,34.006,156,323,515.298,38295.000
11,2.274,1104.846,108.979,867,1412,2512.491,186719.000
12,2.274,306.822,29.157,211,401,697.734,51853.000
13,2.274,226.479,32.516,141,330,515.028,38275.000
14,2.274,844.101,88.500,613,1077,1919.539,142653.000
15,2.274,276.793,31.358,213,356,629.445,46778.000
16,2.274,281.964,36.284,198,396,641.205,47652.000
17,2.274,912.373,109.020,732,1254,2074.794,154191.000
18,2.274,305.142,26.739,231,380,693.913,51569.000
19,2.274,109.130,17.861,64,163,248.169,18443.000
20,2.274,117.337,16.722,77,158,266.833,19830.000
21,2.274,129.065,18.726,79,186,293.502,21812.000
