 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,667.562,107.512,418,972,1518.079,112818.000
2,2.274,3377.112,480.259,2089,4095,7679.771,570732.000
3,2.274,469.314,61.074,339,656,1067.249,79314.000
4,2.274,703.692,116.970,415,1026,1600.242,118924.000
5,2.274,2956.231,517.959,1480,4095,6722.659,499603.000
6,2.274,439.550,56.058,292,621,999.566,74284.000
7,2.274,576.456,47.435,431,681,1310.897,97421.000
8,2.274,2271.444,186.151,1807,2719,5165.409,383874.000
9,2.274,406.030,35.824,322,508,923.337,68619.000
10,2.274,179.811,25.851,127,248,408.901,30388.000
11,2.274,458.964,79.639,252,642,1043.715,77565.000
12,2.274,622.911,110.502,365,915,1416.540,105272.000
13,2.274,184.781,34.144,101,314,420.204,31228.000
14,2.274,468.692,89.220,315,795,1065.836,79209.000
15,2.274,477.432,69.843,347,688,1085.711,80686.000
16,2.274,197.130,32.536,117,307,448.287,33315.000
17,2.274,525.402,110.185,332,829,1194.799,88793.000
18,2.274,605.243,83.684,416,785,1376.361,102286.000
19,2.274,119.337,17.646,71,165,271.381,20168.000
20,2.274,160.787,27.611,107,242,365.640,27173.000
21,2.274,144.692,17.556,110,205,329.040,24453.000
