 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,326.089,47.009,231,460,741.547,55109.000
2,2.274,363.166,35.027,271,467,825.862,61375.000
3,2.274,428.272,41.661,302,558,973.919,72378.000
4,2.274,357.041,43.081,267,512,811.935,60340.000
5,2.274,360.065,30.405,266,472,818.811,60851.000
6,2.274,572.000,52.069,432,705,1300.765,96668.000
7,2.274,377.148,59.721,259,494,857.659,63738.000
8,2.274,372.663,37.021,272,472,847.459,62980.000
9,2.274,571.379,55.511,426,692,1299.352,96563.000
10,2.274,160.367,21.807,108,224,364.685,27102.000
11,2.274,221.923,30.506,157,301,504.667,37505.000
12,2.274,457.562,52.001,314,568,1040.526,77328.000
13,2.274,174.385,21.634,123,247,396.562,29471.000
14,2.274,225.698,23.584,163,289,513.252,38143.000
15,2.274,652.361,53.858,510,799,1483.511,110249.000
16,2.274,161.231,20.233,100,217,366.649,27248.000
17,2.274,193.799,25.339,129,267,440.711,32752.000
18,2.274,449.450,53.180,338,598,1022.078,75957.000
19,2.274,115.290,18.691,65,156,262.177,19484.000
20,2.274,118.852,19.747,70,165,270.277,20086.000
21,2.274,153.373,18.493,99,203,348.780,25920.000
