 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,496.882,73.320,311,659,1129.941,83973.000
2,2.274,383.308,49.726,270,520,871.666,64779.000
3,2.274,418.822,55.670,297,580,952.429,70781.000
4,2.274,498.112,98.665,258,703,1132.740,84181.000
5,2.274,376.172,54.009,262,546,855.438,63573.000
6,2.274,430.337,84.313,242,727,978.615,72727.000
7,2.274,438.024,103.346,184,614,996.094,74026.000
8,2.274,410.982,74.415,201,564,934.600,69456.000
9,2.274,406.065,69.610,216,594,923.418,68625.000
10,2.274,144.053,21.866,80,205,327.586,24345.000
11,2.274,178.556,22.772,133,245,406.048,30176.000
12,2.274,240.716,30.329,171,334,547.404,40681.000
13,2.274,144.391,22.795,92,230,328.353,24402.000
14,2.274,174.509,24.143,122,263,396.844,29492.000
15,2.274,225.893,30.574,159,319,513.696,38176.000
16,2.274,147.243,21.375,102,217,334.839,24884.000
17,2.274,165.604,23.539,108,264,376.593,27987.000
18,2.274,217.018,30.860,142,318,493.512,36676.000
19,2.274,114.793,15.926,69,158,261.046,19400.000
20,2.274,116.793,17.331,79,165,265.595,19738.000
21,2.274,142.657,19.372,98,197,324.411,24109.000
