 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,878.503,156.034,522,1155,1997.772,148467.000
2,2.274,1917.260,220.459,1503,2448,4359.973,324017.000
3,2.274,683.485,116.198,444,971,1554.289,115509.000
4,2.274,772.183,78.821,550,950,1755.995,130499.000
5,2.274,2010.373,269.970,1534,2766,4571.717,339753.000
6,2.274,534.710,48.787,414,654,1215.965,90366.000
7,2.274,865.231,105.949,620,1080,1967.590,146224.000
8,2.274,2173.550,145.063,1677,2574,4942.793,367330.000
9,2.274,694.130,111.343,520,1069,1578.497,117308.000
10,2.274,261.041,25.992,193,326,593.625,44116.000
11,2.274,1484.473,101.192,1266,1778,3375.788,250876.000
12,2.274,608.787,65.389,398,759,1384.421,102885.000
13,2.274,234.763,35.508,146,339,533.867,39675.000
14,2.274,1387.136,139.798,1167,1933,3154.437,234426.000
15,2.274,557.751,101.336,339,814,1268.363,94260.000
16,2.274,188.160,22.737,135,280,427.887,31799.000
17,2.274,1392.734,101.809,1133,1635,3167.166,235372.000
18,2.274,570.538,65.362,402,733,1297.441,96421.000
19,2.274,113.503,16.489,70,148,258.113,19182.000
20,2.274,133.243,18.140,92,193,303.002,22518.000
21,2.274,143.828,17.867,106,188,327.075,24307.000
