 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,524.047,63.878,373,682,1191.717,88564.000
2,2.274,373.284,45.847,251,481,848.872,63085.000
3,2.274,442.189,55.815,325,587,1005.567,74730.000
4,2.274,576.574,106.398,355,822,1311.166,97441.000
5,2.274,390.260,64.316,233,534,887.477,65954.000
6,2.274,505.047,59.800,335,628,1148.510,85353.000
7,2.274,427.473,35.781,328,499,972.102,72243.000
8,2.274,293.473,37.362,200,394,667.377,49597.000
9,2.274,446.160,39.604,341,540,1014.596,75401.000
10,2.274,143.811,19.587,82,219,327.035,24304.000
11,2.274,176.408,23.953,122,243,401.164,29813.000
12,2.274,289.746,31.918,197,381,658.900,48967.000
13,2.274,135.947,16.088,90,177,309.152,22975.000
14,2.274,151.503,19.891,86,202,344.527,25604.000
15,2.274,221.870,28.393,151,295,504.546,37496.000
16,2.274,156.775,19.802,98,203,356.517,26495.000
17,2.274,195.473,24.949,123,266,444.519,33035.000
18,2.274,322.249,35.050,245,417,732.814,54460.000
19,2.274,111.899,16.889,73,156,254.466,18911.000
20,2.274,113.041,15.332,74,150,257.063,19104.000
21,2.274,134.722,18.435,85,178,306.366,22768.000
