 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,912.734,99.000,696,1174,2075.615,154252.000
2,2.274,3135.722,319.754,2432,4033,7130.833,529937.000
3,2.274,565.296,56.490,438,726,1285.519,95535.000
4,2.274,860.036,177.764,499,1253,1955.776,145346.000
5,2.274,2834.325,538.534,1909,4021,6445.438,479001.000
6,2.274,733.396,127.734,432,986,1667.791,123944.000
7,2.274,1048.686,134.684,746,1354,2384.780,177228.000
8,2.274,3210.479,284.784,2592,4053,7300.836,542571.000
9,2.274,611.213,63.206,440,807,1389.938,103295.000
10,2.274,237.994,26.371,172,318,541.214,40221.000
11,2.274,753.651,80.290,510,931,1713.851,127367.000
12,2.274,1212.225,156.285,699,1570,2756.677,204866.000
13,2.274,230.657,26.660,163,294,524.528,38981.000
14,2.274,827.320,85.275,652,1153,1881.378,139817.000
15,2.274,1171.604,194.619,838,1711,2664.302,198001.000
16,2.274,229.621,32.293,144,319,522.174,38806.000
17,2.274,688.036,140.633,469,998,1564.637,116278.000
18,2.274,585.710,113.380,366,824,1331.942,98985.000
19,2.274,110.793,17.932,59,166,251.950,18724.000
20,2.274,129.485,18.557,73,180,294.458,21883.000
21,2.274,134.964,18.234,90,204,306.918,22809.000
