 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,567.408,77.279,399,754,1290.323,95892.000
2,2.274,2325.657,273.128,1713,3095,5288.693,393036.000
3,2.274,396.598,41.344,311,506,901.889,67025.000
4,2.274,863.148,151.264,542,1227,1962.854,145872.000
5,2.274,3223.828,567.993,1841,4095,7331.193,544827.000
6,2.274,474.450,50.605,344,580,1078.929,80182.000
7,2.274,780.183,121.916,484,996,1774.187,131851.000
8,2.274,2822.533,396.316,1800,3467,6418.621,477008.000
9,2.274,913.876,163.304,587,1283,2078.212,154445.000
10,2.274,205.130,27.042,130,289,466.479,34667.000
11,2.274,536.852,56.342,391,691,1220.836,90728.000
12,2.274,1092.574,146.851,697,1486,2484.583,184645.000
13,2.274,212.320,22.892,147,279,482.828,35882.000
14,2.274,569.858,62.258,427,771,1295.894,96306.000
15,2.274,725.882,131.906,492,1057,1650.702,122674.000
16,2.274,145.645,20.147,105,214,331.206,24614.000
17,2.274,290.550,40.827,209,385,660.730,49103.000
18,2.274,251.728,38.655,166,349,572.445,42542.000
19,2.274,108.290,15.456,69,149,246.258,18301.000
20,2.274,124.503,17.749,81,168,283.128,21041.000
21,2.274,142.178,18.121,100,187,323.321,24028.000
