 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,914.189,90.273,578,1078,2078.925,154498.000
2,2.274,1619.148,175.504,1288,2258,3682.047,273636.000
3,2.274,550.651,50.494,417,706,1252.216,93060.000
4,2.274,978.728,75.496,786,1186,2225.690,165405.000
5,2.274,1713.249,134.398,1417,2053,3896.037,289539.000
6,2.274,563.485,38.754,482,718,1281.402,95229.000
7,2.274,1150.615,196.171,471,1397,2616.573,194454.000
8,2.274,1843.953,163.899,1372,2227,4193.267,311628.000
9,2.274,627.426,61.945,467,791,1426.807,106035.000
10,2.274,242.467,27.155,179,315,551.387,40977.000
11,2.274,1134.864,137.127,806,1460,2580.754,191792.000
12,2.274,312.953,35.090,224,401,711.674,52889.000
13,2.274,208.112,24.646,156,289,473.261,35171.000
14,2.274,1436.237,151.543,1080,1835,3266.095,242724.000
15,2.274,313.112,33.083,220,390,712.038,52916.000
16,2.274,183.284,21.652,121,241,416.800,30975.000
17,2.274,896.876,69.198,696,1080,2039.553,151572.000
18,2.274,262.467,29.852,180,335,596.868,44357.000
19,2.274,110.698,16.526,48,156,251.735,18708.000
20,2.274,118.479,18.173,76,169,269.430,20023.000
21,2.274,133.964,18.510,79,189,304.644,22640.000
