 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,476.041,56.301,338,587,1082.549,80451.000
2,2.274,1203.669,85.253,1041,1471,2737.220,203420.000
3,2.274,604.059,51.235,470,713,1373.669,102086.000
4,2.274,432.337,49.796,287,545,983.163,73065.000
5,2.274,1165.479,83.871,933,1370,2650.375,196966.000
6,2.274,576.254,59.007,445,785,1310.440,97387.000
7,2.274,401.521,67.394,230,556,913.084,67857.000
8,2.274,1036.195,144.911,709,1330,2356.375,175117.000
9,2.274,576.379,92.109,344,807,1310.722,97408.000
10,2.274,150.290,21.791,95,206,341.769,25399.000
11,2.274,888.675,90.179,711,1118,2020.903,150186.000
12,2.274,405.639,35.926,314,489,922.449,68553.000
13,2.274,141.450,18.199,99,189,321.666,23905.000
14,2.274,691.775,58.079,514,836,1573.141,116910.000
15,2.274,371.479,35.020,288,475,844.768,62780.000
16,2.274,143.355,19.560,98,192,325.999,24227.000
17,2.274,707.964,60.602,592,881,1609.957,119646.000
18,2.274,303.740,33.144,219,401,690.723,51332.000
19,2.274,125.349,17.400,88,172,285.052,21184.000
20,2.274,212.781,39.691,136,321,483.878,35960.000
21,2.274,170.870,24.684,114,230,388.569,28877.000
