 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,305.899,36.361,225,406,695.635,51697.000
2,2.274,240.964,26.818,187,301,547.969,40723.000
3,2.274,341.136,49.373,234,468,775.765,57652.000
4,2.274,255.527,54.130,133,393,581.084,43184.000
5,2.274,216.568,36.760,108,292,492.490,36600.000
6,2.274,292.775,35.646,203,376,665.790,49479.000
7,2.274,302.166,35.631,217,379,687.144,51066.000
8,2.274,235.929,29.211,169,303,536.518,39872.000
9,2.274,315.266,35.435,222,408,716.936,53280.000
10,2.274,175.686,22.847,114,239,399.522,29691.000
11,2.274,182.580,22.896,134,244,415.198,30856.000
12,2.274,604.385,81.981,428,791,1374.410,102141.000
13,2.274,162.805,22.542,113,222,370.228,27514.000
14,2.274,188.414,25.292,136,268,428.466,31842.000
15,2.274,425.651,62.755,303,599,967.958,71935.000
16,2.274,177.420,27.155,117,240,403.465,29984.000
17,2.274,190.231,25.164,135,274,432.597,32149.000
18,2.274,420.391,66.842,301,585,955.995,71046.000
19,2.274,111.249,18.107,67,154,252.986,18801.000
20,2.274,117.935,18.185,59,164,268.192,19931.000
21,2.274,140.166,17.975,93,192,318.746,23688.000
