 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,521.953,63.158,371,710,1186.954,88210.000
2,2.274,433.538,39.815,341,552,985.894,73268.000
3,2.274,400.361,35.219,314,504,910.447,67661.000
4,2.274,634.680,109.427,374,936,1443.304,107261.000
5,2.274,540.124,51.208,420,682,1228.277,91281.000
6,2.274,556.692,66.831,394,737,1265.954,94081.000
7,2.274,541.065,60.101,405,727,1230.417,91440.000
8,2.274,430.746,52.526,320,572,979.543,72796.000
9,2.274,558.645,88.661,376,882,1270.395,94411.000
10,2.274,196.266,29.867,126,291,446.322,33169.000
11,2.274,238.308,35.720,158,340,541.927,40274.000
12,2.274,545.882,132.875,319,865,1241.370,92254.000
13,2.274,187.734,24.965,128,251,426.919,31727.000
14,2.274,232.592,25.563,165,318,528.929,39308.000
15,2.274,363.083,53.734,247,544,825.674,61361.000
16,2.274,185.716,29.085,91,283,422.330,31386.000
17,2.274,225.331,30.386,148,303,512.418,38081.000
18,2.274,442.059,47.160,301,539,1005.271,74708.000
19,2.274,125.284,18.773,80,175,284.904,21173.000
20,2.274,124.071,18.775,72,173,282.145,20968.000
21,2.274,164.290,20.537,76,214,373.606,27765.000
