 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,331.763,48.680,213,440,754.451,56068.000
2,2.274,308.249,58.045,181,451,700.977,52094.000
3,2.274,280.018,40.773,201,443,636.778,47323.000
4,2.274,431.740,61.653,275,596,981.804,72964.000
5,2.274,412.651,59.029,248,552,938.395,69738.000
6,2.274,332.799,33.703,235,428,756.806,56243.000
7,2.274,348.698,102.006,178,577,792.962,58930.000
8,2.274,381.592,64.466,260,528,867.764,64489.000
9,2.274,339.639,41.708,258,445,772.361,57399.000
10,2.274,142.349,19.414,94,194,323.711,24057.000
11,2.274,219.787,27.435,149,295,499.810,37144.000
12,2.274,367.586,48.133,249,487,835.914,62122.000
13,2.274,151.964,19.507,95,219,345.577,25682.000
14,2.274,185.734,20.045,145,239,422.370,31389.000
15,2.274,371.402,39.417,281,475,844.593,62767.000
16,2.274,133.426,18.599,79,185,303.419,22549.000
17,2.274,170.373,22.563,107,235,387.439,28793.000
18,2.274,304.899,50.463,193,468,693.361,51528.000
19,2.274,116.189,17.191,77,163,264.222,19636.000
20,2.274,118.763,15.483,74,168,270.075,20071.000
21,2.274,136.556,18.111,80,181,310.538,23078.000
