 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,473.331,65.807,276,622,1076.386,79993.000
2,2.274,1831.213,200.057,1414,2256,4164.296,309475.000
3,2.274,358.982,36.218,266,458,816.349,60668.000
4,2.274,451.775,54.469,343,675,1027.366,76350.000
5,2.274,1796.580,383.756,1259,2684,4085.538,303622.000
6,2.274,416.320,39.250,322,534,946.737,70358.000
7,2.274,525.947,89.910,329,713,1196.037,88885.000
8,2.274,2047.059,408.014,1296,3093,4655.144,345953.000
9,2.274,378.213,40.417,284,476,860.081,63918.000
10,2.274,160.609,19.869,112,218,365.236,27143.000
11,2.274,1714.444,272.172,1121,2335,3898.755,289741.000
12,2.274,404.503,68.556,281,643,919.866,68361.000
13,2.274,171.018,22.825,120,222,388.905,28902.000
14,2.274,1060.527,136.766,809,1585,2411.706,179229.000
15,2.274,478.905,57.881,292,628,1089.062,80935.000
16,2.274,167.331,22.512,116,246,380.522,28279.000
17,2.274,1182.367,148.755,920,1724,2688.778,199820.000
18,2.274,364.935,36.258,287,469,829.885,61674.000
19,2.274,113.213,16.052,83,158,257.454,19133.000
20,2.274,135.414,32.719,83,302,307.941,22885.000
21,2.274,137.805,18.498,79,199,313.377,23289.000
