Original_Name	Blinded_Name
Condition_2control_2_series_1.tiff	blind_0044
Condition_2control_3_series_2.tiff	blind_0039
Condition_2control_4_series_3.tiff	blind_0024
Condition_2control_5_series_4.tiff	blind_0016
Condition_2control_6_series_5.tiff	blind_0022
Condition_2control_series_0.tiff	blind_0048
Condition_2treatment_2_series_7.tiff	blind_0017
Condition_2treatment_3_series_8.tiff	blind_0034
Condition_2treatment_4_series_9.tiff	blind_0049
Condition_2treatment_5_series_10.tiff	blind_0069
Condition_2treatment_6_series_11.tiff	blind_0059
Condition_2treatment_series_6.tiff	blind_0057
Condition_2control_2_series_1.tiff	blind_0029
Condition_2control_3_series_2.tiff	blind_0042
Condition_2control_series_0.tiff	blind_0056
Condition_2control_2_series_1.tiff	blind_0068
Condition_2control_3_series_2.tiff	blind_0066
Condition_2control_series_0.tiff	blind_0031
Condition_2treatment_2_series_4.tiff	blind_0005
Condition_2treatment_3_series_5.tiff	blind_0028
Condition_2treatment_4_series_6.tiff	blind_0071
Condition_2treatment_5_series_7.tiff	blind_0008
Condition_2treatment_6_series_8.tiff	blind_0002
Condition_2treatment_7_series_9.tiff	blind_0004
Condition_2treatment_series_3.tiff	blind_0021
Condition_2control_2_series_11.tiff	blind_0036
Condition_2control_3_series_12.tiff	blind_0070
Condition_2control_4_series_13.tiff	blind_0052
Condition_2control_5_series_14.tiff	blind_0033
Condition_2control_6_series_15.tiff	blind_0041
Condition_2control_series_10.tiff	blind_0051
Condition_2treatment_2_series_17.tiff	blind_0060
Condition_2treatment_3_series_18.tiff	blind_0018
Condition_2treatment_4_series_19.tiff	blind_0014
Condition_2treatment_5_series_20.tiff	blind_0009
Condition_2treatment_6_series_21.tiff	blind_0065
Condition_2treatment_series_16.tiff	blind_0045
Condition_2control_2_series_23.tiff	blind_0063
Condition_2control_3_series_24.tiff	blind_0026
Condition_2control_4_series_25.tiff	blind_0064
Condition_2control_5_series_26.tiff	blind_0053
Condition_2control_6_series_27.tiff	blind_0043
Condition_2control_series_22.tiff	blind_0047
Condition_2treatment_2_series_35.tiff	blind_0046
Condition_2treatment_3_series_36.tiff	blind_0032
Condition_2treatment_4_series_37.tiff	blind_0003
Condition_2treatment_5_series_38.tiff	blind_0037
Condition_2treatment_6_series_39.tiff	blind_0054
Condition_2treatment_series_34.tiff	blind_0015
Condition_2control_2_series_7.tiff	blind_0006
Condition_2control_3_series_8.tiff	blind_0058
Condition_2control_4_series_9.tiff	blind_0023
Condition_2control_5_series_10.tiff	blind_0027
Condition_2control_6_series_11.tiff	blind_0067
Condition_2control_series_6.tiff	blind_0055
Condition_2treatment_2_series_13.tiff	blind_0010
Condition_2treatment_3_series_14.tiff	blind_0061
Condition_2treatment_4_series_15.tiff	blind_0040
Condition_2treatment_5_series_16.tiff	blind_0038
Condition_2treatment_6_series_17.tiff	blind_0030
Condition_2treatment_series_12.tiff	blind_0020
Condition_2control_2_series_19.tiff	blind_0072
Condition_2control_3_series_20.tiff	blind_0062
Condition_2control_4_series_21.tiff	blind_0001
Condition_2control_5_series_22.tiff	blind_0011
Condition_2control_6_series_23.tiff	blind_0073
Condition_2control_series_18.tiff	blind_0019
Condition_2treatment_2_series_25.tiff	blind_0007
Condition_2treatment_3_series_26.tiff	blind_0025
Condition_2treatment_4_series_27.tiff	blind_0050
Condition_2treatment_5_series_28.tiff	blind_0035
Condition_2treatment_6_series_29.tiff	blind_0012
Condition_2treatment_series_24.tiff	blind_0013
